"market_date","measure_name","measure_value"
"2014-10-01","EWMA","407"
"2014-10-01","SMA","407"
"2014-10-02","EWMA","406.35"
"2014-10-02","SMA","402"
"2014-10-03","EWMA","405.26"
"2014-10-03","SMA","398"
"2014-10-04","EWMA","404.06"
"2014-10-04","SMA","396"
"2014-10-05","EWMA","402.23"
"2014-10-05","SMA","390"
"2014-10-06","EWMA","399.99"
"2014-10-06","SMA","385"
"2014-10-07","EWMA","397.26"
"2014-10-07","SMA","379"
"2014-10-08","EWMA","393.98"
"2014-10-08","SMA","372"
"2014-10-09","EWMA","390.47"
"2014-10-09","SMA","367"
"2014-10-10","EWMA","387.03"
"2014-10-10","SMA","364"
"2014-10-11","EWMA","383.65"
"2014-10-11","SMA","361"
"2014-10-12","EWMA","380.32"
"2014-10-12","SMA","358"
"2014-10-13","EWMA","377.42"
"2014-10-13","SMA","358"
"2014-10-14","EWMA","375.03"
"2014-10-14","SMA","359"
"2014-10-15","EWMA","373.08"
"2014-10-15","SMA","360"
"2014-10-16","EWMA","371.51"
"2014-10-16","SMA","361"
"2014-10-17","EWMA","370.27"
"2014-10-17","SMA","362"
"2014-10-18","EWMA","369.32"
"2014-10-18","SMA","363"
"2014-10-19","EWMA","369.15"
"2014-10-19","SMA","368"
"2014-10-20","EWMA","369.65"
"2014-10-20","SMA","373"
"2014-10-21","EWMA","370.61"
"2014-10-21","SMA","377"
"2014-10-22","EWMA","371.83"
"2014-10-22","SMA","380"
"2014-10-23","EWMA","373.15"
"2014-10-23","SMA","382"
"2014-10-24","EWMA","374.30"
"2014-10-24","SMA","382"
"2014-10-25","EWMA","375.30"
"2014-10-25","SMA","382"
"2014-10-26","EWMA","376.04"
"2014-10-26","SMA","381"
"2014-10-27","EWMA","376.42"
"2014-10-27","SMA","379"
"2014-10-28","EWMA","376.37"
"2014-10-28","SMA","376"
"2014-10-29","EWMA","375.93"
"2014-10-29","SMA","373"
"2014-10-30","EWMA","375.03"
"2014-10-30","SMA","369"
"2014-10-31","EWMA","373.86"
"2014-10-31","SMA","366"
"2014-11-01","EWMA","372.45"
"2014-11-01","SMA","363"
"2014-11-02","EWMA","370.57"
"2014-11-02","SMA","358"
"2014-11-03","EWMA","368.42"
"2014-11-03","SMA","354"
"2014-11-04","EWMA","366.03"
"2014-11-04","SMA","350"
"2014-11-05","EWMA","363.43"
"2014-11-05","SMA","346"
"2014-11-06","EWMA","360.77"
"2014-11-06","SMA","343"
"2014-11-07","EWMA","358.33"
"2014-11-07","SMA","342"
"2014-11-08","EWMA","356.08"
"2014-11-08","SMA","341"
"2014-11-09","EWMA","354.12"
"2014-11-09","SMA","341"
"2014-11-10","EWMA","352.41"
"2014-11-10","SMA","341"
"2014-11-11","EWMA","351.06"
"2014-11-11","SMA","342"
"2014-11-12","EWMA","350.01"
"2014-11-12","SMA","343"
"2014-11-13","EWMA","349.88"
"2014-11-13","SMA","349"
"2014-11-14","EWMA","350.55"
"2014-11-14","SMA","355"
"2014-11-15","EWMA","351.65"
"2014-11-15","SMA","359"
"2014-11-16","EWMA","353.13"
"2014-11-16","SMA","363"
"2014-11-17","EWMA","354.93"
"2014-11-17","SMA","367"
"2014-11-18","EWMA","357.02"
"2014-11-18","SMA","371"
"2014-11-19","EWMA","359.36"
"2014-11-19","SMA","375"
"2014-11-20","EWMA","361.65"
"2014-11-20","SMA","377"
"2014-11-21","EWMA","363.78"
"2014-11-21","SMA","378"
"2014-11-22","EWMA","365.76"
"2014-11-22","SMA","379"
"2014-11-23","EWMA","367.48"
"2014-11-23","SMA","379"
"2014-11-24","EWMA","369.11"
"2014-11-24","SMA","380"
"2014-11-25","EWMA","370.53"
"2014-11-25","SMA","380"
"2014-11-26","EWMA","371.89"
"2014-11-26","SMA","381"
"2014-11-27","EWMA","372.55"
"2014-11-27","SMA","377"
"2014-11-28","EWMA","372.61"
"2014-11-28","SMA","373"
"2014-11-29","EWMA","372.53"
"2014-11-29","SMA","372"
"2014-11-30","EWMA","372.46"
"2014-11-30","SMA","372"
"2014-12-01","EWMA","372.27"
"2014-12-01","SMA","371"
"2014-12-02","EWMA","371.97"
"2014-12-02","SMA","370"
"2014-12-03","EWMA","371.84"
"2014-12-03","SMA","371"
"2014-12-04","EWMA","371.60"
"2014-12-04","SMA","370"
"2014-12-05","EWMA","371.52"
"2014-12-05","SMA","371"
"2014-12-06","EWMA","371.71"
"2014-12-06","SMA","373"
"2014-12-07","EWMA","372.14"
"2014-12-07","SMA","375"
"2014-12-08","EWMA","372.51"
"2014-12-08","SMA","375"
"2014-12-09","EWMA","372.70"
"2014-12-09","SMA","374"
"2014-12-10","EWMA","372.61"
"2014-12-10","SMA","372"
"2014-12-11","EWMA","372.40"
"2014-12-11","SMA","371"
"2014-12-12","EWMA","371.96"
"2014-12-12","SMA","369"
"2014-12-13","EWMA","371.45"
"2014-12-13","SMA","368"
"2014-12-14","EWMA","370.74"
"2014-12-14","SMA","366"
"2014-12-15","EWMA","369.86"
"2014-12-15","SMA","364"
"2014-12-16","EWMA","368.71"
"2014-12-16","SMA","361"
"2014-12-17","EWMA","367.32"
"2014-12-17","SMA","358"
"2014-12-18","EWMA","365.59"
"2014-12-18","SMA","354"
"2014-12-19","EWMA","363.43"
"2014-12-19","SMA","349"
"2014-12-20","EWMA","361.03"
"2014-12-20","SMA","345"
"2014-12-21","EWMA","358.56"
"2014-12-21","SMA","342"
"2014-12-22","EWMA","355.89"
"2014-12-22","SMA","338"
